year,winter_AO,prior_winter_AO,prior_spring_AO
1990,2.4641,NA,NA
1991,-0.22652000000000003,2.4641,1.0419733333333334
1992,0.88532,-0.22652000000000003,0.30044666666666664
1993,1.4813833333333333,0.88532,0.17296999999999996
1994,0.24387,1.4813833333333333,-0.8541533333333333
1995,0.5561200000000001,0.24387,0.5718633333333334
1996,-0.84013,0.5561200000000001,-0.6553833333333333
1997,0.84091,-0.84013,-0.4182633333333333
1998,-0.8394,0.84091,-0.48416333333333333
1999,-0.2997066666666667,-0.8394,-0.10666733333333332
2000,0.6315466666666667,-0.2997066666666667,0.4057833333333334
2001,-1.0892466666666667,0.6315466666666667,0.42555666666666664
2002,1.1956,-1.0892466666666667,0.447534
2003,0.19636666666666663,1.1956,0.5741700000000001
2004,-0.9654133333333332,0.19636666666666663,0.24549
2005,-0.7541100000000001,-0.9654133333333332,-0.24650066666666667
2006,-0.6433466666666666,-0.7541100000000001,-0.39760466666666666
2007,0.6363333333333333,-0.6433466666666666,0.45498
2008,0.7808733333333333,0.6363333333333333,0.2943266666666667
2009,0.08292999999999999,0.7808733333333333,-0.5831633333333334
2010,-2.428193333333333,0.08292999999999999,0.2718433333333333
2011,0.4387999999999999,-2.428193333333333,-0.402048
2012,0.2603683333333333,0.4387999999999999,0.4606523333333334
2013,-1.6007733333333334,0.2603683333333333,-0.17952366666666664
2014,0.093605,-1.6007733333333334,0.4549566666666667
2015,1.3238666666666663,0.093605,0.30957666666666667
2016,-0.397327,1.3238666666666663,0.8018333333333333
2017,0.8824099999999999,-0.397327,-0.2579863333333333
2018,-0.3697433333333333,0.8824099999999999,-0.139046
2019,0.8508,-0.3697433333333333,0.70113
2020,2.8258666666666667,0.8508,-0.6959666666666666
2021,-0.5217,2.8258666666666667,0.25975166666666666
2022,0.88559,-0.5217,0.15823666666666666
