var,event,mean,ci_2.5,ci_97.5,age
82,no litter,0.8291896224227497,0.6599773083690739,0.9380505058176365,5-9 yr
82.46464646464646,no litter,0.8273614124742465,0.6603043749448525,0.9360852365479047,5-9 yr
82.92929292929293,no litter,0.8255065175296606,0.6608419304192247,0.9338681672393747,5-9 yr
83.39393939393939,no litter,0.8236246274134488,0.6613283764315616,0.9315960054258676,5-9 yr
83.85858585858585,no litter,0.8217154339798035,0.661556817353472,0.9291835682250797,5-9 yr
84.32323232323232,no litter,0.8197786314863433,0.6619876962947651,0.9269246504466468,5-9 yr
84.78787878787878,no litter,0.8178139169860122,0.6623371238111255,0.924772085564934,5-9 yr
85.25252525252526,no litter,0.8158209907375766,0.6626953877151468,0.9225685890916732,5-9 yr
85.71717171717171,no litter,0.8137995566350781,0.6631402960708896,0.9203082848142378,5-9 yr
86.18181818181819,no litter,0.8117493226565643,0.6634703448688261,0.9180049736412268,5-9 yr
86.64646464646464,no litter,0.809670001332376,0.6633920972334741,0.9154466218504114,5-9 yr
87.11111111111111,no litter,0.8075613102332244,0.6637459520573044,0.9130708656391684,5-9 yr
87.57575757575758,no litter,0.8054229724782368,0.6636384094528158,0.9106080750626907,5-9 yr
88.04040404040404,no litter,0.8032547172630886,0.6639190326014799,0.9079461659195791,5-9 yr
88.5050505050505,no litter,0.8010562804082728,0.66404451627138394,0.9048320011229487,5-9 yr
88.96969696969697,no litter,0.7988274049274818,0.663859051123607,0.9018687816050703,5-9 yr
89.43434343434343,no litter,0.7965678416159965,0.6634446582311018,0.8989095912132219,5-9 yr
89.8989898989899,no litter,0.7942773496588813,0.6627989811315854,0.8957471751811127,5-9 yr
90.36363636363636,no litter,0.7919556972586905,0.6629722341554699,0.892490326736818,5-9 yr
90.82828282828282,no litter,0.7896026622822792,0.6626397026389872,0.8890174288425893,5-9 yr
91.29292929292929,no litter,0.7872180329261936,0.6629453767109885,0.8856756554774797,5-9 yr
91.75757575757575,no litter,0.7848016083999954,0.6628804311942393,0.8826452832126517,5-9 yr
92.22222222222223,no litter,0.7823531996267293,0.6626801799162804,0.8793046793163877,5-9 yr
92.68686868686869,no litter,0.7798726299596098,0.6629541901593349,0.875759617533538,5-9 yr
93.15151515151516,no litter,0.7773597359138369,0.6627309638037808,0.8723329440777682,5-9 yr
93.61616161616162,no litter,0.7748143679122981,0.6623126687481855,0.8684623850299229,5-9 yr
94.08080808080808,no litter,0.7722363910437355,0.661539303605996,0.8650869496133141,5-9 yr
94.54545454545455,no litter,0.7696256858317811,0.6614530295183223,0.8616356202130531,5-9 yr
95.01010101010101,no litter,0.7669821490130734,0.6610649619422846,0.8577677939786899,5-9 yr
95.47474747474747,no litter,0.7643056943224787,0.659426329632162,0.8542615389733272,5-9 yr
95.93939393939394,no litter,0.7615962532832395,0.6581456301821453,0.8500350771713394,5-9 yr
96.4040404040404,no litter,0.7588537759996676,0.6569397394600249,0.8460396967331822,5-9 yr
96.86868686868686,no litter,0.7560782319497984,0.6563543181966398,0.8422444364196005,5-9 yr
97.33333333333333,no litter,0.7532696107752118,0.6554740937997457,0.8384370589520973,5-9 yr
97.79797979797979,no litter,0.7504279230650227,0.6546289211656358,0.8348923228597388,5-9 yr
98.26262626262626,no litter,0.7475532011308375,0.6533068509608615,0.8310156803372704,5-9 yr
98.72727272727272,no litter,0.7446454997692811,0.6528483816540849,0.826645753506456,5-9 yr
99.1919191919192,no litter,0.7417048970085067,0.651391039024481,0.8230810497346233,5-9 yr
99.65656565656566,no litter,0.7387314948349213,0.6496165384102178,0.8192319051836472,5-9 yr
100.12121212121212,no litter,0.7357254198962021,0.6475320094227511,0.8152738566325465,5-9 yr
100.58585858585859,no litter,0.7326868241765262,0.6456253563101615,0.8112348637722795,5-9 yr
101.05050505050505,no litter,0.7296158856398139,0.6431780605274693,0.807548907522959,5-9 yr
101.51515151515152,no litter,0.7265128088366846,0.6405579331216806,0.8040096888001451,5-9 yr
101.97979797979798,no litter,0.7233778254707448,0.6381860443462899,0.8004635762680523,5-9 yr
102.44444444444444,no litter,0.7202111949197937,0.6354591039075996,0.7967368453870676,5-9 yr
102.9090909090909,no litter,0.7170132047075113,0.6334616231793595,0.7937832094926265,5-9 yr
103.37373737373737,no litter,0.7137841709212309,0.629998165854582,0.7900850018695762,5-9 yr
103.83838383838383,no litter,0.7105244385714603,0.6272977232328776,0.7866339686134618,5-9 yr
104.3030303030303,no litter,0.707234381888928,0.6238749633268759,0.7836445706786469,5-9 yr
104.76767676767676,no litter,0.7039144045550854,0.6200221854448659,0.780557587680314,5-9 yr
105.23232323232322,no litter,0.7005649398621966,0.6157327550801978,0.778105170334953,5-9 yr
105.6969696969697,no litter,0.6971864507993946,0.611372196269258,0.775648136833583,5-9 yr
106.16161616161617,no litter,0.6937794300613782,0.6076068794898903,0.7730328823967814,5-9 yr
106.62626262626263,no litter,0.690344399976766,0.6032429202686127,0.7707239892314475,5-9 yr
107.0909090909091,no litter,0.6868819123535089,0.5984601649807473,0.7682025627605493,5-9 yr
107.55555555555556,no litter,0.6833925482391965,0.5932763651034774,0.766556584766282,5-9 yr
108.02020202020202,no litter,0.6798769175945593,0.5877132949808985,0.765026953833989,5-9 yr
108.48484848484848,no litter,0.6763356588789813,0.5815330418341409,0.7632283072015538,5-9 yr
108.94949494949495,no litter,0.6727694385473726,0.5754815109358133,0.7617496280972904,5-9 yr
109.41414141414141,no litter,0.6691789504583223,0.569366650963669,0.7607212401114958,5-9 yr
